process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_2	3.7s	60.9%	0.1%	205.2 MB	205.2 MB	369 MB	39.7s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_3	3.2s	70.5%	0.1%	201 MB	201 MB	300.1 MB	37.3s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_5	3s	68.8%	0.1%	202 MB	202 MB	301.8 MB	34.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_4	2.9s	70.2%	0.1%	201.6 MB	201.6 MB	301.8 MB	32.5s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_5-sgcca	4.5s	74.8%	0.1%	221.6 MB	221.6 MB	319.1 MB	30.1s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_3	7.7s	83.1%	0.2%	438.8 MB	438.8 MB	562.7 MB	27.7s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_5	20.9s	30.5%	0.2%	438.8 MB	438.8 MB	562.7 MB	25.4s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_4	20.9s	30.5%	0.2%	439 MB	439 MB	562.7 MB	23s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7-fold_2	20m 44s	278.0%	0.6%	1.1 GB	1.2 GB	2.4 GB	20m 58s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7-fold_5	20m 24s	280.6%	0.6%	1.1 GB	1.2 GB	2.4 GB	20m 55s	16 GB
