method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_1,0.8,0.8,0.8,0.74,0.8,0.8,0.88,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_2,0.6,0.6,0.6,0.56,0.6,0.6,0.68,14.417,0.2
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_3,0.7,0.7,0.667,0.633,0.8,0.727,0.6,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_4,0.8,0.8,0.8,0.74,0.8,0.8,0.84,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_5,0.7,0.7,0.75,0.65,0.6,0.667,0.68,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_1,0.5,0.5,0.5,0.5,0.4,0.444,0.48,18.022,0.0
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_2,0.6,0.6,0.571,0.557,0.8,0.667,0.64,14.417,0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_3,0.8,0.8,0.8,0.74,0.8,0.8,0.8,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_4,0.7,0.7,0.75,0.65,0.6,0.667,0.72,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_5,0.8,0.8,0.8,0.74,0.8,0.8,0.84,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_1,0.5,0.5,0.5,0.5,0.6,0.545,0.36,18.022,0.0
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_2,0.6,0.6,0.571,0.557,0.8,0.667,0.64,14.417,0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_3,0.9,0.9,1.0,0.9,0.8,0.889,0.8,3.604,0.816
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_4,0.2,0.2,0.0,0.5,0.0,0.0,0.2,28.835,-0.655
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_5,0.5,0.5,0.0,0.5,0.0,0.0,0.96,18.022,0.0
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_1,0.3,0.3,0.333,0.433,0.4,0.364,0.36,25.231,-0.408
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_2,0.5,0.5,0.5,0.5,0.4,0.444,0.48,18.022,0.0
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_3,0.6,0.6,0.571,0.557,0.8,0.667,0.64,14.417,0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_4,0.6,0.6,0.6,0.56,0.6,0.6,0.6,14.417,0.2
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_5,0.7,0.7,0.75,0.65,0.6,0.667,0.84,10.813,0.408
